DATE;M1NSA;M2NSA
1960Q1;140,53;299,4
1960Q2;138,4;300,03
1960Q3;139,6;305,5
1960Q4;142,67;312,3
1961Q1;142,23;317,1
1961Q2;141,4;320,97
1961Q3;142;326,5
1961Q4;146,63;334,7
1962Q1;146,37;341,17
1962Q2;145,33;346,23
1962Q3;144,97;351,63
1962Q4;149,23;361,27
1963Q1;149,53;368,97
1963Q2;148,87;374,63
1963Q3;150,13;382,2
1963Q4;155,17;392,5
1964Q1;154,97;398,67
1964Q2;153,93;403
1964Q3;156,27;412,03
1964Q4;162,07;423,7
1965Q1;161,83;431,53
1965Q2;160,6;436,1
1965Q3;162,3;444,6
1965Q4;169,1;457,8
1966Q1;170,37;465,57
1966Q2;170,13;468,63
1966Q3;169,53;471,67
1966Q4;173,8;479,57
1967Q1;173,7;486,03
1967Q2;174,2;495,7
1967Q3;178,07;509,67
1967Q4;184,7;522,97
1968Q1;185,23;530,53
1968Q2;186,7;538,17
1968Q3;190,4;548,97
1968Q4;198,2;563,57
1969Q1;199,63;571,8
1969Q2;199,7;576,53
1969Q3;200,63;580,1
1969Q4;205,73;586,2
1970Q1;205,43;587,57
1970Q2;206,43;593,73
1970Q3;208,97;604,3
1970Q4;215,63;620
1971Q1;217,03;641,17
1971Q2;221,03;668,5
1971Q3;224,7;685,23
1971Q4;229,97;702,67
1972Q1;231,87;725,3
1972Q2;235,07;746,53
1972Q3;239,9;768,4
1972Q4;249,33;792,3
1973Q1;251,2;812,67
1973Q2;253,73;829,47
1973Q3;256,73;838,03
1973Q4;263,73;847,03
1974Q1;264,4;863,73
1974Q2;266,7;877,97
1974Q3;269,3;884,53
1974Q4;276,4;896,43
1975Q1;273,77;913,7
1975Q2;278,13;951,4
1975Q3;283,8;983,5
1975Q4;290,03;1006,07
1976Q1;288,73;1036,73
1976Q2;294,33;1072,67
1976Q3;298,03;1099,1
1976Q4;307,7;1137,87
1977Q1;308,9;1174,23
1977Q2;315,97;1210,63
1977Q3;322,03;1237,63
1977Q4;333,1;1263,03
1978Q1;332,67;1282,43
1978Q2;342,27;1310,4
1978Q3;349,9;1335,4
1978Q4;360,43;1361,4
1979Q1;357,03;1376,17
1979Q2;368,47;1411,2
1979Q3;378,6;1446,03
1979Q4;386,73;1469,67
1980Q1;384,47;1489,9
1980Q2;383,93;1513,1
1980Q3;399,2;1560,97
1980Q4;415,33;1597,43
1981Q1;411,37;1618,1
1981Q2;424,1;1662,33
1981Q3;426,87;1695,37
1981Q4;437,27;1742,57
1982Q1;438,8;1773,27
1982Q2;446,07;1811,83
1982Q3;451,83;1847,63
1982Q4;475,3;1894,37
1983Q1;479,9;1987,37
1983Q2;498,67;2039,83
1983Q3;510,03;2075,2
1983Q4;524,1;2118,63
1984Q1;523,43;2154,7
1984Q2;537,33;2201,47
1984Q3;541,6;2234,07
1984Q4;552,2;2289,03
1985Q1;557,13;2348,63
1985Q2;576,53;2390,67
1985Q3;596,3;2444,17
1985Q4;617,83;2485,07
1986Q1;621,23;2514,53
1986Q2;651,83;2581,57
1986Q3;678,77;2648,1
1986Q4;713,6;2711,83
1987Q1;725,77;2747,1
1987Q2;745,03;2772,63
1987Q3;744,97;2790,77
1987Q4;758,03;2826,6
1988Q1;753,43;2870,53
1988Q2;773,27;2926,73
1988Q3;782,07;2954
1988Q4;790,27;2984,77
1989Q1;779,43;2996,4
1989Q2;776,37;3016,73
1989Q3;778,3;3073,73
1989Q4;794,67;3139,43
1990Q1;793,97;3179,97
1990Q2;806,9;3207,5
1990Q3;813,6;3238,83
1990Q4;827,8;3269,23
1991Q1;829,17;3304,93
1991Q2;849,63;3343,43
1991Q3;863,17;3351,07
1991Q4;893,97;3370,2
1992Q1;920,37;3392
1992Q2;949,2;3397,87
1992Q3;971,6;3396,03
1992Q4;1022,6;3430
1993Q1;1030,73;3410,03
1993Q2;1062;3430,03
1993Q3;1090;3440,63
1993Q4;1131,3;3472,43
1994Q1;1132,2;3470,37
1994Q2;1142;3485,4
1994Q3;1147,13;3482,9
1994Q4;1159,53;3491,87
1995Q1;1144,7;3485,63
1995Q2;1145,1;3523,03
1995Q3;1141,13;3581,23
1995Q4;1141,4;3624,47
1996Q1;1118;3662,87
1996Q2;1117,57;3708,67
1996Q3;1100,03;3737,97
1996Q4;1090,53;3789,07
1997Q1;1074,63;3836
1997Q2;1064,67;3878
1997Q3;1064,8;3930,5
1997Q4;1076,4;4002,27
1998Q1;1074,1;4077,27
1998Q2;1077,9;4149,9
1998Q3;1071,37;4207,2
1998Q4;1098,87;4328,27
1999Q1;1095,53;4410,27
1999Q2;1102,73;4467,83
1999Q3;1092,07;4517,33
1999Q4;1118,77;4595,83
2000Q1;1111,07;4673,2
2000Q2;1109,3;4742,9
2000Q3;1095,37;4783
2000Q4;1098,67;4872,47
2001Q1;1100,47;5003,07
2001Q2;1122,57;5122,23
2001Q3;1159,27;5223,77
2001Q4;1178,9;5359,8
2002Q1;1188,97;5449,9
2002Q2;1192,53;5492,57
2002Q3;1189,5;5583,3
2002Q4;1215,8;5715,43
2003Q1;1231,77;5798,17
2003Q2;1270;5922,17
2003Q3;1288,47;6029,5
2003Q4;1304,77;6040,37
2004Q1;1315,1;6071,8
2004Q2;1341,1;6219,5
2004Q3;1346,5;6271,53
2004Q4;1374,3;6370,37
2005Q1;1365,77;6392,83
2005Q2;1374,03;6461,63
2005Q3;1368,2;6526,57
2005Q4;1378,17;6627,67
2006Q1;1376,9;6709,8
2006Q2;1387,8;6804,37
2006Q3;1361,7;6862,07
2006Q4;1371,63;6994,9
2007Q1;1364,37;7103,47
2007Q2;1382,33;7240,9
2007Q3;1365,33;7302,23
2007Q4;1377,63;7408,97
2008Q1;1380,37;7572,17
2008Q2;1402,93;7707,17
2008Q3;1419,77;7738,83
2008Q4;1535,73;8029,1
2009Q1;1575,27;8312,87
2009Q2;1635;8404,13
2009Q3;1649,2;8363,07
2009Q4;1689,8;8458,2
2010Q1;1695,53;8483,6
2010Q2;1718,07;8563,7
2010Q3;1732,33;8577,23
2010Q4;1821,67;8746,37
2011Q1;1873,67;8877,97
2011Q2;1934,47;9030,37
2011Q3;2064,13;9373,77
2011Q4;2165,77;9599,47
2012Q1;2213,97;9777,03
2012Q2;2258,3;9888,97
2012Q3;2326,47;10029,87
2012Q4;2436,73;10319,6
